Ãû³Æ	µÀ¾ßÖÖÀà	¾ßÌåÀà±ð	ÏêÏ¸Àà±ð	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ
Vozer Ên	0	13	0	\spr\mel\vozeran.spr	37	1	1	Vozer T©n Thñ Ên!<enter>Mét lo¹i Ên th«ng th­êng mµ Vozer th­êng sö dông.		100	1	0	85	100	100	89	100	100																36	1										
Kh«ng sö dông	0	13	0	\spr\mel\vozeran.spr	37	1	1	Kh«ng sö dông		100	2	0																						36	1										
Kh«ng sö dông	0	13	0	\spr\mel\vozeran.spr	37	1	1	Kh«ng sö dông		100	3	0																						36	1										
Kh«ng sö dông	0	13	0	\spr\mel\vozeran.spr	37	1	1	Kh«ng sö dông		100	4	0																						36	1										
Kh«ng sö dông	0	13	0	\spr\mel\vozeran.spr	37	1	1	Kh«ng sö dông		100	5	0																						36	1										
Kh«ng sö dông	0	13	0	\spr\mel\vozeran.spr	37	1	1	Kh«ng sö dông		100	6	0																						36	1										
Kh«ng sö dông	0	13	0	\spr\mel\vozeran.spr	37	1	1	Kh«ng sö dông		100	7	0																						36	1										
Kh«ng sö dông	0	13	0	\spr\mel\vozeran.spr	37	1	1	Kh«ng sö dông		100	8	0																						36	1										
Kh«ng sö dông	0	13	0	\spr\mel\vozeran.spr	37	1	1	Kh«ng sö dông		100	9	0																						36	1										
Kh«ng sö dông	0	13	0	\spr\mel\vozeran.spr	37	1	1	Kh«ng sö dông		100	10	0																						36	1										
ThiÕu L©m Ên - S¬ CÊp	0	13	1	\spr\mel\thieulaman.spr	37	1	1	<color>ThiÕu L©m Ên - S¬ CÊp!		100	1	0	85	200	200	89	200	200	121	10	10	126	50	50										36	80	39	0								
Kh«ng sö dông	0	13	1	\spr\mel\thieulaman.spr	37	1	1	Kh«ng sö dông		100	2	0																						36	80	39	0								
Kh«ng sö dông	0	13	1	\spr\mel\thieulaman.spr	37	1	1	Kh«ng sö dông		100	3	0																						36	80	39	0								
Kh«ng sö dông	0	13	1	\spr\mel\thieulaman.spr	37	1	1	Kh«ng sö dông		100	4	0																						36	80	39	0								
ThiÕu L©m Ên - Trung CÊp	0	13	1	\spr\mel\thieulaman.spr	37	1	1	<color>ThiÕu L©m Ên - Trung CÊp!		100	5	0	85	200	200	89	200	200	121	30	30	126	50	50										36	80	39	0								
Kh«ng sö dông	0	13	1	\spr\mel\thieulaman.spr	37	1	1	Kh«ng sö dông		100	6	0																						36	80	39	0								
Kh«ng sö dông	0	13	1	\spr\mel\thieulaman.spr	37	1	1	Kh«ng sö dông		100	7	0																						36	80	39	0								
Kh«ng sö dông	0	13	1	\spr\mel\thieulaman.spr	37	1	1	Kh«ng sö dông		100	8	0																						36	80	39	0								
Kh«ng sö dông	0	13	1	\spr\mel\thieulaman.spr	37	1	1	Kh«ng sö dông		100	9	0																						36	80	39	0								
ThiÕu L©m Ên - Cao CÊp	0	13	1	\spr\mel\thieulaman.spr	37	1	1	<color>ThiÕu L©m Ên - Cao CÊp!		100	10	0	85	200	200	89	200	200	121	50	50	126	100	100										36	80	39	0								
Thiªn V­¬ng Ên - S¬ CÊp	0	13	2	\spr\mel\thienvuongan.spr	37	1	1	<color>Thiªn V­¬ng Ên - S¬ CÊp!		100	1	0	85	300	300	89	100	100	121	10	10	126	50	50										36	80	39	1								
Kh«ng sö dông	0	13	2	\spr\mel\thienvuongan.spr	37	1	1	Kh«ng sö dông		100	2	0																						36	80	39	1								
Kh«ng sö dông	0	13	2	\spr\mel\thienvuongan.spr	37	1	1	Kh«ng sö dông		100	3	0																						36	80	39	1								
Kh«ng sö dông	0	13	2	\spr\mel\thienvuongan.spr	37	1	1	Kh«ng sö dông		100	4	0																						36	80	39	1								
Thiªn V­¬ng Ên - Trung CÊp	0	13	2	\spr\mel\thienvuongan.spr	37	1	1	<color>Thiªn V­¬ng Ên - Trung CÊp!		100	5	0	85	400	400	89	100	100	121	30	30	126	50	50										36	80	39	1								
Kh«ng sö dông	0	13	2	\spr\mel\thienvuongan.spr	37	1	1	Kh«ng sö dông		100	6	0																						36	80	39	1								
Kh«ng sö dông	0	13	2	\spr\mel\thienvuongan.spr	37	1	1	Kh«ng sö dông		100	7	0																						36	80	39	1								
Kh«ng sö dông	0	13	2	\spr\mel\thienvuongan.spr	37	1	1	Kh«ng sö dông		100	8	0																						36	80	39	1								
Kh«ng sö dông	0	13	2	\spr\mel\thienvuongan.spr	37	1	1	Kh«ng sö dông		100	9	0																						36	80	39	1								
Thiªn V­¬ng Ên - Cao CÊp	0	13	2	\spr\mel\thienvuongan.spr	37	1	1	<color>Thiªn V­¬ng Ên - Cao CÊp!		100	10	0	85	500	500	89	100	100	121	50	50	126	100	100										36	80	39	1								
§­êng M«n Ên - S¬ CÊp	0	13	3	\spr\mel\duongmonan.spr	37	1	1	<color>§­êng M«n Ên - S¬ CÊp!		100	1	0	85	200	200	89	200	200	121	10	10	137	5	5										36	80	39	2								
Kh«ng sö dông	0	13	3	\spr\mel\duongmonan.spr	37	1	1	Kh«ng sö dông		100	2	0																						36	80	39	2								
Kh«ng sö dông	0	13	3	\spr\mel\duongmonan.spr	37	1	1	Kh«ng sö dông		100	3	0																						36	80	39	2								
Kh«ng sö dông	0	13	3	\spr\mel\duongmonan.spr	37	1	1	Kh«ng sö dông		100	4	0																						36	80	39	2								
§­êng M«n Ên - Trung CÊp	0	13	3	\spr\mel\duongmonan.spr	37	1	1	<color>§­êng M«n Ên - Trung CÊp!		100	5	0	85	200	200	89	200	200	121	30	30	137	10	10										36	80	39	2								
Kh«ng sö dông	0	13	3	\spr\mel\duongmonan.spr	37	1	1	Kh«ng sö dông		100	6	0																						36	80	39	2								
Kh«ng sö dông	0	13	3	\spr\mel\duongmonan.spr	37	1	1	Kh«ng sö dông		100	7	0																						36	80	39	2								
Kh«ng sö dông	0	13	3	\spr\mel\duongmonan.spr	37	1	1	Kh«ng sö dông		100	8	0																						36	80	39	2								
Kh«ng sö dông	0	13	3	\spr\mel\duongmonan.spr	37	1	1	Kh«ng sö dông		100	9	0																						36	80	39	2								
§­êng M«n Ên - Cao CÊp	0	13	3	\spr\mel\duongmonan.spr	37	1	1	<color>§­êng M«n Ên - Cao CÊp!		100	10	0	85	200	200	89	200	200	121	50	50	137	10	10										36	80	39	2								
Ngò §éc Ên - S¬ CÊp	0	13	4	\spr\mel\ngudocan.spr	37	1	1	<color>Ngò §éc Ên - S¬ CÊp!		100	1	0	85	200	200	89	200	200	125	10	10	172	10	10										36	80	39	3								
Kh«ng sö dông	0	13	4	\spr\mel\ngudocan.spr	37	1	1	Kh«ng sö dông		100	2	0																						36	80	39	3								
Kh«ng sö dông	0	13	4	\spr\mel\ngudocan.spr	37	1	1	Kh«ng sö dông		100	3	0																						36	80	39	3								
Kh«ng sö dông	0	13	4	\spr\mel\ngudocan.spr	37	1	1	Kh«ng sö dông		100	4	0																						36	80	39	3								
Ngò §éc Ên - Trung CÊp	0	13	4	\spr\mel\ngudocan.spr	37	1	1	<color>Ngò §éc Ên - Trung CÊp!		100	5	0	85	200	200	89	200	200	125	20	20	172	20	20										36	80	39	3								
Kh«ng sö dông	0	13	4	\spr\mel\ngudocan.spr	37	1	1	Kh«ng sö dông		100	6	0																						36	80	39	3								
Kh«ng sö dông	0	13	4	\spr\mel\ngudocan.spr	37	1	1	Kh«ng sö dông		100	7	0																						36	80	39	3								
Kh«ng sö dông	0	13	4	\spr\mel\ngudocan.spr	37	1	1	Kh«ng sö dông		100	8	0																						36	80	39	3								
Kh«ng sö dông	0	13	4	\spr\mel\ngudocan.spr	37	1	1	Kh«ng sö dông		100	9	0																						36	80	39	3								
Ngò §éc Ên - Cao CÊp	0	13	4	\spr\mel\ngudocan.spr	37	1	1	<color>Ngò §éc Ên - Cao CÊp!		100	10	0	85	200	200	89	200	200	125	50	50	172	50	50										36	80	39	3								
Nga Mi Ên - S¬ CÊp	0	13	5	\spr\mel\ngamian.spr	37	1	1	<color>Nga Mi Ên - S¬ CÊp!		100	1	0	85	200	200	89	200	200	121	10	10	169	100	100										36	80	39	4								
Kh«ng sö dông	0	13	5	\spr\mel\ngamian.spr	37	1	1	Kh«ng sö dông		100	2	0																						36	80	39	4								
Kh«ng sö dông	0	13	5	\spr\mel\ngamian.spr	37	1	1	Kh«ng sö dông		100	3	0																						36	80	39	4								
Kh«ng sö dông	0	13	5	\spr\mel\ngamian.spr	37	1	1	Kh«ng sö dông		100	4	0																						36	80	39	4								
Nga Mi Ên - Trung CÊp	0	13	5	\spr\mel\ngamian.spr	37	1	1	<color>Nga Mi Ên - Trung CÊp!		100	5	0	85	200	200	89	200	200	121	30	30	169	200	200										36	80	39	4								
Kh«ng sö dông	0	13	5	\spr\mel\ngamian.spr	37	1	1	Kh«ng sö dông		100	6	0																						36	80	39	4								
Kh«ng sö dông	0	13	5	\spr\mel\ngamian.spr	37	1	1	Kh«ng sö dông		100	7	0																						36	80	39	4								
Kh«ng sö dông	0	13	5	\spr\mel\ngamian.spr	37	1	1	Kh«ng sö dông		100	8	0																						36	80	39	4								
